#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1944 02 01  4414  4414.5 1515 23  2.333  1.000  0.000  1.000  1.333  0.667  1.667  0.667    9    4    0    4    5    3    6    3     4  12     -1.0     -1.0 2
1944 02 02  4415  4415.5 1515 24  0.333  2.667  2.667  1.333  0.667  0.667  1.333  2.000    2   12   12    5    3    3    5    7     6  12     -1.0     -1.0 2
1944 02 03  4416  4416.5 1515 25  1.000  1.000  0.333  0.667  0.667  0.333  1.000  0.667    4    4    2    3    3    2    4    3     3   0     -1.0     -1.0 2
1944 02 04  4417  4417.5 1515 26  0.667  2.000  1.333  1.667  2.667  2.667  2.667  1.000    3    7    5    6   12   12   12    4     8   0     -1.0     -1.0 2
1944 02 05  4418  4418.5 1515 27  0.333  1.000  1.667  0.667  1.000  1.333  2.000  2.000    2    4    6    3    4    5    7    7     5   0     -1.0     -1.0 2
1944 02 06  4419  4419.5 1516  1  2.000  0.667  0.667  1.000  1.000  0.667  0.667  0.333    7    3    3    4    4    3    3    2     4   0     -1.0     -1.0 2
1944 02 07  4420  4420.5 1516  2  2.000  2.000  3.333  5.000  6.000  5.333  5.000  5.333    7    7   18   48   80   56   48   56    40   0     -1.0     -1.0 2
1944 02 08  4421  4421.5 1516  3  5.000  4.000  3.667  3.000  3.667  3.667  4.000  5.333   48   27   22   15   22   22   27   56    30   0     -1.0     -1.0 2
1944 02 09  4422  4422.5 1516  4  1.333  2.667  4.667  3.667  4.333  4.000  3.333  2.333    5   12   39   22   32   27   18    9    20   0     -1.0     -1.0 2
1944 02 10  4423  4423.5 1516  5  2.667  4.000  3.667  4.333  3.000  3.333  4.000  2.333   12   27   22   32   15   18   27    9    20   0     -1.0     -1.0 2
1944 02 11  4424  4424.5 1516  6  4.000  3.333  3.333  4.000  3.667  3.333  3.000  3.000   27   18   18   27   22   18   15   15    20   0     -1.0     -1.0 2
1944 02 12  4425  4425.5 1516  7  3.333  3.667  3.000  2.667  3.667  3.000  3.000  1.333   18   22   15   12   22   15   15    5    16   0     -1.0     -1.0 2
1944 02 13  4426  4426.5 1516  8  1.333  1.000  2.667  1.667  1.667  3.000  2.667  5.000    5    4   12    6    6   15   12   48    14   0     -1.0     -1.0 2
1944 02 14  4427  4427.5 1516  9  5.333  6.333  6.667  5.000  4.333  3.333  3.000  3.000   56   94  111   48   32   18   15   15    49   0     -1.0     -1.0 2
1944 02 15  4428  4428.5 1516 10  4.333  3.667  2.667  3.000  4.000  4.000  4.000  4.000   32   22   12   15   27   27   27   27    24   0     -1.0     -1.0 2
1944 02 16  4429  4429.5 1516 11  3.000  2.333  3.000  2.333  2.000  2.000  0.667  2.333   15    9   15    9    7    7    3    9     9   0     -1.0     -1.0 2
1944 02 17  4430  4430.5 1516 12  2.000  0.667  0.667  1.333  2.000  1.333  1.000  2.000    7    3    3    5    7    5    4    7     5   0     -1.0     -1.0 2
1944 02 18  4431  4431.5 1516 13  0.667  1.000  0.333  2.000  1.333  0.333  0.000  0.000    3    4    2    7    5    2    0    0     3   0     -1.0     -1.0 2
1944 02 19  4432  4432.5 1516 14  0.333  1.000  1.333  1.667  1.000  0.667  0.000  0.000    2    4    5    6    4    3    0    0     3   0     -1.0     -1.0 2
1944 02 20  4433  4433.5 1516 15  0.667  0.667  1.000  3.667  4.667  3.667  3.000  3.667    3    3    4   22   39   22   15   22    16   0     -1.0     -1.0 2
1944 02 21  4434  4434.5 1516 16  3.667  2.667  2.000  2.667  1.333  2.000  1.667  2.000   22   12    7   12    5    7    6    7    10   0     -1.0     -1.0 2
1944 02 22  4435  4435.5 1516 17  2.667  2.667  1.000  0.333  0.333  0.667  0.667  0.333   12   12    4    2    2    3    3    2     5   0     -1.0     -1.0 2
1944 02 23  4436  4436.5 1516 18  0.667  2.000  1.333  0.667  1.333  0.667  0.667  1.667    3    7    5    3    5    3    3    6     4   0     -1.0     -1.0 2
1944 02 24  4437  4437.5 1516 19  1.000  1.333  0.333  0.667  0.333  0.333  1.000  2.000    4    5    2    3    2    2    4    7     4   0     -1.0     -1.0 2
1944 02 25  4438  4438.5 1516 20  2.000  1.000  0.667  0.333  0.333  0.333  0.000  0.667    7    4    3    2    2    2    0    3     3   0     -1.0     -1.0 2
1944 02 26  4439  4439.5 1516 21  0.667  0.667  1.000  1.333  0.333  0.333  1.000  1.000    3    3    4    5    2    2    4    4     3   0     -1.0     -1.0 2
1944 02 27  4440  4440.5 1516 22  2.000  0.333  0.667  0.667  0.667  0.333  0.333  0.333    7    2    3    3    3    2    2    2     3   0     -1.0     -1.0 2
